matheus|7.1|7.3|7.2|6.6|7.4|7.3|6.5|6.4|7.0|7.2
jafar|6.9|7.5|6.7|6.7|7.0|6.4|6.9|6.5|6.8|6.9
juan|6.9|7.6|6.9|7.2|7.5|7.7|7.1|7.2|7.5|7.4
olivio|6.5|7.6|6.8|6.5|7.0|7.3|8.1|7.3|7.4|7.4
thomas|6.8|6.6|7.1|7.1|6.3|7.0|7.1|7.8|7.1|7.0
ivan|6.8|7.1|6.5|7.3|7.0|6.9|7.8|7.1|6.7|6.9
yangel|6.7|6.9|6.4|7.3|6.8|6.8|6.6|6.9|6.7|7.0
abdallah|6.8|7.0|6.8|7.0|7.5|6.6|6.7|6.5|7.3|6.6
koen|6.3|6.6|6.4|8.1|7.4|6.6|7.0|6.6|6.6|6.6
matias|6.4|6.6|6.5|6.9|8.3|6.6|6.8|7.1|6.8|6.8
gleison|6.3|7.8|7.5|7.0|6.7|7.5|8.5|8.2|7.3|7.3
