id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
388169,1,BlockedShot,0.775,0.5,0.027098389,Naby Keita,h,5247,OpenPlay,2020,RightFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,Sadio Man??,Pass
388170,1,MissedShots,0.959000015,0.590999985,0.025693387,Sadio Man??,h,838,FromCorner,2020,Head,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,James Milner,Aerial
388171,8,SavedShot,0.933000031,0.332000008,0.079928771,Curtis Jones,h,6665,OpenPlay,2020,RightFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,Naby Keita,Pass
388172,9,SavedShot,0.761999969,0.464000015,0.018804336,Naby Keita,h,5247,FromCorner,2020,LeftFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,,None
388173,12,SavedShot,0.825,0.512999992,0.074917302,Diogo Jota,h,6854,OpenPlay,2020,RightFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,Roberto Firmino,Pass
388174,17,MissedShots,0.793000031,0.562999992,0.037033673,Andrew Robertson,h,1688,OpenPlay,2020,LeftFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,,None
388177,26,MissedShots,0.950999985,0.500999985,0.081161566,Joel Matip,h,332,FromCorner,2020,Head,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,Andrew Robertson,Aerial
388178,31,MissedShots,0.989000015,0.575,0.416324466,Roberto Firmino,h,482,SetPiece,2020,RightFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,Joel Matip,HeadPass
388180,38,SavedShot,0.866999969,0.527999992,0.098589495,Sadio Man??,h,838,OpenPlay,2020,RightFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,James Milner,Chipped
388181,40,Goal,0.906999969,0.557000008,0.271563709,Diogo Jota,h,6854,OpenPlay,2020,Head,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,Andrew Robertson,Cross
388183,45,MissedShots,0.973000031,0.412999992,0.413808107,Diogo Jota,h,6854,OpenPlay,2020,RightFoot,14519,Liverpool,Leicester,3,0,11/22/2020 19:15,Andrew Robertson,Cross
